;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;encoded_label
static__Diagnose_S;-0.042;-0.06;-0.022;-0.037;-0.029;-0.033;-0.021;-0.014;-0.017;-0.021;1.0;-0.101;0.003;-0.011;0.015;0.144;-0.132;0.015;0.106;-0.104;0.015;0.165;-0.146;0.015;0.191;-0.175;0.015;-0.011;0.011;-0.012;0.012;0.0;-0.021;0.015;0.01;-0.017;0.015;0.042;-0.048;0.015;0.117;-0.112;0.015;0.014;-0.033;0.015;0.012;-0.031;0.015;-0.004;-0.017;0.015;0.199;-0.175;0.015;0.253;-0.229;0.015;-0.001;-0.021;0.015;0.15;-0.141;0.015;0.008;-0.028;0.015;0.043;-0.049;0.015;0.21;-0.194;0.015;0.204;-0.178;0.015;-0.02;-0.015;-0.01;0.137;-0.016;-0.009;-0.025;0.038;-0.012;0.018;-0.005;-0.021;-0.005;-0.018;0.058;-0.018;-0.004;-0.031;-0.006;-0.012;-0.024;-0.009;0.008;-0.006;-0.027;-0.021;-0.024;-0.008;-0.003;0.058;0.09;-0.054;0.09;-0.025;0.029;-0.018;-0.1;0.115;0.271;0.015;-0.014;-0.005;0.073;-0.023;-0.052;-0.103;-0.008;-0.081;-0.022;0.137;0.075;0.008;-0.032;0.018;-0.005;-0.051;0.037;-0.031;0.085;-0.025;0.037;-0.021;-0.017;0.068;-0.067;-0.025;0.2;-0.005;-0.012;-0.005;-0.005;-0.008;0.003;-0.153;-0.005;-0.006;-0.008;-0.014;0.09;-0.006;-0.009;0.287;-0.011;0.16;-0.006;-0.008;0.466;-0.006;-0.006;-0.005;-0.006;-0.048
static__Diagnose_other;-0.268;-0.382;-0.137;-0.237;-0.185;-0.208;-0.134;-0.092;-0.105;-0.131;-0.101;1.0;0.134;-0.183;0.084;0.146;-0.176;0.084;0.165;-0.195;0.084;0.169;-0.194;0.084;0.169;-0.196;0.084;-0.103;0.103;-0.064;0.064;-0.03;-0.068;0.084;0.022;-0.061;0.084;0.028;-0.067;0.084;0.154;-0.184;0.084;-0.03;-0.041;0.084;-0.015;-0.063;0.084;-0.08;0.011;0.084;0.196;-0.216;0.084;0.134;-0.166;0.084;-0.044;-0.047;0.084;0.119;-0.153;0.084;-0.029;-0.051;0.084;0.134;-0.17;0.084;0.078;-0.116;0.084;0.209;-0.226;0.084;0.141;-0.084;0.035;-0.058;-0.014;0.016;-0.023;-0.005;-0.02;-0.016;0.045;-0.052;-0.029;0.145;-0.008;0.145;-0.013;-0.013;-0.041;-0.02;-0.036;0.016;0.002;0.012;-0.016;0.128;-0.046;-0.029;-0.03;0.04;0.076;-0.022;0.152;-0.037;-0.038;-0.023;-0.046;0.046;0.136;-0.025;-0.04;-0.029;0.016;0.056;-0.023;-0.036;0.078;-0.046;0.135;-0.058;-0.029;-0.045;0.064;-0.016;0.045;0.034;-0.023;-0.013;-0.018;-0.042;0.003;0.128;-0.029;0.044;-0.035;-0.037;-0.041;0.045;-0.02;0.045;0.045;0.078;-0.004;-0.081;-0.029;-0.041;0.078;0.073;0.05;0.064;0.091;-0.029;-0.01;-0.007;-0.041;0.078;-0.01;0.064;0.064;0.045;0.064;-0.068
static__DiagnosticArtAstrup_False;-0.111;0.001;0.091;-0.007;-0.07;-0.159;0.054;-0.062;-0.011;0.049;0.003;0.134;1.0;-0.878;-0.336;0.214;0.018;-0.336;0.266;-0.057;-0.336;0.227;0.023;-0.336;0.214;0.008;-0.336;0.334;-0.334;0.307;-0.307;0.307;-0.047;-0.336;0.147;0.008;-0.336;0.133;0.023;-0.336;0.271;-0.054;-0.336;0.328;-0.119;-0.336;0.316;-0.1;-0.336;0.349;-0.106;-0.336;0.209;0.038;-0.336;0.188;0.031;-0.336;0.323;-0.071;-0.336;0.194;0.018;-0.336;0.36;-0.151;-0.336;0.286;-0.119;-0.336;0.147;0.061;-0.336;0.212;0.039;-0.336;-0.214;0.336;-0.112;-0.1;-0.174;-0.1;-0.066;-0.248;-0.046;0.241;-0.05;0.071;-0.05;-0.202;-0.016;-0.202;0.196;-0.128;-0.071;-0.017;-0.07;-0.024;0.129;-0.071;-0.111;-0.198;0.029;0.004;-0.028;-0.018;0.074;0.004;-0.13;-0.052;-0.057;-0.067;0.065;0.052;0.108;-0.101;-0.045;-0.05;-0.074;-0.059;0.022;0.069;0.045;0.157;-0.237;-0.1;0.022;-0.143;-0.181;0.241;-0.05;0.109;-0.055;-0.128;0.014;-0.056;0.113;-0.198;0.037;-0.147;0.132;-0.052;0.037;0.026;0.012;0.026;0.026;0.045;-0.098;0.02;-0.05;0.037;0.045;0.035;0.047;0.037;0.014;-0.05;0.002;0.045;-0.017;0.045;0.064;-0.017;0.037;0.026;0.037;-0.172
static__DiagnosticArtAstrup_True;0.129;0.036;-0.075;0.033;0.036;0.187;-0.054;0.028;-0.017;-0.032;-0.011;-0.183;-0.878;1.0;-0.155;-0.178;0.245;-0.155;-0.221;0.284;-0.155;-0.196;0.26;-0.155;-0.174;0.242;-0.155;0.128;-0.128;0.162;-0.162;0.088;0.07;-0.155;-0.04;0.111;-0.155;-0.035;0.105;-0.155;-0.231;0.292;-0.155;-0.007;0.157;-0.155;0.012;0.135;-0.155;0.07;0.128;-0.155;-0.177;0.245;-0.155;-0.148;0.219;-0.155;0.075;0.095;-0.155;-0.151;0.221;-0.155;-0.012;0.186;-0.155;-0.212;0.278;-0.155;-0.101;0.177;-0.155;-0.182;0.248;-0.155;-0.098;0.155;-0.051;-0.046;-0.08;-0.046;0.08;-0.114;0.06;0.066;-0.023;-0.054;-0.023;-0.093;0.06;-0.093;-0.004;-0.095;0.08;-0.0;0.082;-0.006;-0.016;-0.032;-0.095;-0.054;-0.008;0.027;0.069;0.037;-0.065;-0.04;-0.074;0.05;0.023;0.028;0.033;-0.008;-0.117;0.007;0.084;0.057;-0.004;0.018;-0.053;0.032;-0.04;0.078;-0.109;-0.046;0.003;-0.103;0.006;0.066;0.057;-0.023;0.093;-0.095;-0.005;-0.021;0.045;-0.054;-0.022;0.0;-0.001;0.05;-0.032;-0.023;-0.031;-0.023;-0.023;-0.04;0.086;-0.001;0.057;-0.032;-0.04;-0.022;-0.065;-0.032;-0.006;0.057;-0.024;-0.04;-0.032;-0.04;-0.056;-0.032;-0.032;-0.023;-0.032;0.133
static__DiagnosticArtAstrup_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__DiagnosticBlood_False;-0.074;-0.068;0.007;-0.097;-0.051;0.015;-0.063;-0.008;0.073;-0.037;0.144;0.146;0.214;-0.178;-0.091;1.0;-0.803;-0.091;0.589;-0.483;-0.091;0.888;-0.681;-0.091;0.815;-0.66;-0.091;0.097;-0.097;0.096;-0.096;0.099;-0.039;-0.091;0.359;-0.316;-0.091;0.369;-0.322;-0.091;0.645;-0.523;-0.091;0.101;-0.048;-0.091;0.098;-0.043;-0.091;0.076;0.008;-0.091;0.784;-0.594;-0.091;0.66;-0.523;-0.091;0.112;-0.061;-0.091;0.531;-0.419;-0.091;0.101;-0.046;-0.091;0.283;-0.231;-0.091;0.589;-0.469;-0.091;0.763;-0.571;-0.091;-0.058;0.091;-0.03;-0.027;-0.047;-0.027;-0.055;-0.067;-0.036;0.122;-0.014;-0.039;-0.014;-0.055;0.037;-0.055;0.07;-0.076;-0.019;-0.036;-0.072;0.028;0.141;-0.019;-0.062;-0.039;-0.048;-0.153;-0.037;0.125;0.273;-0.16;0.057;-0.076;-0.07;-0.027;-0.1;0.295;0.54;-0.084;-0.041;-0.014;-0.012;0.001;-0.145;-0.092;0.167;0.065;-0.065;-0.027;-0.023;-0.086;-0.079;0.122;-0.014;0.046;0.0;-0.076;-0.012;-0.174;0.194;-0.039;-0.051;-0.031;0.003;-0.076;0.136;0.096;-0.036;0.096;0.096;0.167;-0.033;-0.296;-0.014;0.058;0.167;0.236;0.195;0.136;0.193;-0.014;-0.033;0.103;0.058;0.167;0.236;0.058;0.136;0.096;0.136;-0.038
static__DiagnosticBlood_True;0.079;0.102;0.019;0.114;0.0;0.011;0.058;-0.036;-0.096;0.055;-0.132;-0.176;0.018;0.245;-0.52;-0.803;1.0;-0.52;-0.437;0.678;-0.52;-0.712;0.919;-0.52;-0.64;0.861;-0.52;0.482;-0.482;0.489;-0.489;0.399;0.058;-0.52;-0.173;0.412;-0.52;-0.192;0.429;-0.52;-0.489;0.726;-0.52;0.311;0.079;-0.52;0.321;0.073;-0.52;0.45;0.013;-0.52;-0.623;0.845;-0.52;-0.507;0.745;-0.52;0.392;0.077;-0.52;-0.393;0.642;-0.52;0.344;0.072;-0.52;-0.138;0.379;-0.52;-0.443;0.687;-0.52;-0.606;0.831;-0.52;-0.331;0.52;-0.173;-0.155;-0.269;-0.155;0.059;-0.384;0.045;0.272;-0.077;0.058;-0.077;-0.312;0.019;-0.312;0.178;-0.206;0.024;0.009;0.071;-0.06;0.021;-0.109;-0.196;-0.275;0.069;0.167;0.078;-0.085;-0.219;0.096;-0.297;0.059;0.017;-0.027;0.206;-0.198;-0.468;-0.045;0.079;0.017;-0.086;-0.052;0.089;0.202;-0.134;0.23;-0.367;-0.155;0.051;-0.225;-0.149;0.272;0.017;0.068;0.041;-0.206;0.022;0.055;0.027;-0.275;0.064;-0.155;0.16;0.059;-0.109;-0.077;0.009;-0.077;-0.077;-0.134;0.009;0.277;0.017;-0.043;-0.134;-0.186;-0.186;-0.109;-0.155;0.017;0.003;-0.079;-0.109;-0.134;-0.19;-0.109;-0.109;-0.077;-0.109;-0.022
static__DiagnosticBlood_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__DiagnosticECG_False;-0.123;-0.083;0.002;-0.038;-0.03;-0.066;0.005;0.006;0.044;0.009;0.106;0.165;0.266;-0.221;-0.113;0.589;-0.437;-0.113;1.0;-0.842;-0.113;0.648;-0.467;-0.113;0.565;-0.428;-0.113;0.106;-0.106;0.119;-0.119;0.128;-0.057;-0.113;0.34;-0.287;-0.113;0.388;-0.332;-0.113;0.817;-0.664;-0.113;0.139;-0.078;-0.113;0.125;-0.058;-0.113;0.132;-0.063;-0.113;0.615;-0.44;-0.113;0.559;-0.422;-0.113;0.102;-0.012;-0.113;0.443;-0.328;-0.113;0.147;-0.087;-0.113;0.321;-0.257;-0.113;0.446;-0.33;-0.113;0.643;-0.458;-0.113;-0.072;0.113;-0.038;-0.034;-0.059;-0.034;-0.024;-0.084;-0.045;0.13;-0.017;-0.057;-0.017;-0.068;0.015;-0.068;0.092;-0.1;-0.024;-0.045;-0.034;0.014;0.161;-0.024;-0.1;-0.057;-0.068;-0.132;-0.041;0.115;0.22;-0.142;0.022;-0.041;-0.085;-0.068;-0.026;0.218;0.414;-0.117;-0.036;-0.017;-0.028;-0.005;-0.117;-0.022;0.134;0.072;-0.08;-0.034;-0.018;-0.112;-0.062;0.13;-0.017;0.057;-0.002;-0.1;-0.003;-0.186;0.208;-0.057;-0.038;-0.085;0.041;-0.041;0.11;0.077;-0.009;0.077;0.077;0.134;-0.035;-0.216;-0.017;0.043;0.134;0.156;0.153;0.11;0.155;-0.017;-0.041;0.08;0.043;0.134;0.19;0.043;0.11;0.077;0.11;-0.078
static__DiagnosticECG_True;0.125;0.115;0.021;0.062;-0.012;0.082;-0.001;-0.045;-0.07;0.013;-0.104;-0.195;-0.057;0.284;-0.44;-0.483;0.678;-0.44;-0.842;1.0;-0.44;-0.541;0.727;-0.44;-0.457;0.654;-0.44;0.416;-0.416;0.41;-0.41;0.323;0.074;-0.44;-0.185;0.387;-0.44;-0.238;0.438;-0.44;-0.68;0.852;-0.44;0.235;0.105;-0.44;0.255;0.086;-0.44;0.348;0.075;-0.44;-0.511;0.701;-0.44;-0.452;0.65;-0.44;0.35;0.033;-0.44;-0.344;0.553;-0.44;0.258;0.108;-0.44;-0.195;0.396;-0.44;-0.347;0.556;-0.44;-0.537;0.723;-0.44;-0.28;0.44;-0.146;-0.131;-0.228;-0.131;0.032;-0.325;0.053;0.224;-0.065;0.074;-0.065;-0.264;0.032;-0.264;0.133;-0.155;0.028;0.021;0.039;-0.045;-0.018;-0.092;-0.135;-0.228;0.087;0.152;0.079;-0.084;-0.185;0.091;-0.245;0.032;0.037;0.016;0.132;-0.147;-0.378;-0.0;0.072;0.02;-0.063;-0.042;0.074;0.131;-0.113;0.194;-0.31;-0.131;0.044;-0.169;-0.141;0.224;0.02;0.046;0.039;-0.155;0.013;0.083;-0.013;-0.228;0.052;-0.087;0.11;0.032;-0.092;-0.065;-0.012;-0.065;-0.065;-0.113;0.013;0.216;0.02;-0.032;-0.113;-0.126;-0.155;-0.092;-0.131;0.02;0.014;-0.064;-0.092;-0.113;-0.16;-0.092;-0.092;-0.065;-0.092;0.02
static__DiagnosticECG_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__DiagnosticIC_False;-0.1;-0.085;-0.007;-0.1;-0.039;-0.001;-0.057;-0.001;0.088;-0.028;0.165;0.169;0.227;-0.196;-0.082;0.888;-0.712;-0.082;0.648;-0.541;-0.082;1.0;-0.779;-0.082;0.837;-0.684;-0.082;0.087;-0.087;0.086;-0.086;0.102;-0.057;-0.082;0.349;-0.31;-0.082;0.371;-0.329;-0.082;0.694;-0.572;-0.082;0.111;-0.07;-0.082;0.108;-0.066;-0.082;0.063;0.018;-0.082;0.845;-0.65;-0.082;0.718;-0.579;-0.082;0.101;-0.055;-0.082;0.581;-0.468;-0.082;0.115;-0.075;-0.082;0.301;-0.253;-0.082;0.62;-0.502;-0.082;0.85;-0.649;-0.082;-0.052;0.082;-0.027;-0.025;-0.043;-0.025;-0.046;-0.061;-0.032;0.118;-0.012;-0.057;-0.012;-0.049;0.022;-0.049;0.078;-0.083;-0.017;-0.032;-0.041;-0.025;0.151;-0.017;-0.073;-0.057;-0.063;-0.154;-0.048;0.153;0.303;-0.144;0.028;-0.046;-0.097;-0.049;-0.094;0.292;0.585;-0.117;-0.033;-0.012;-0.041;-0.061;-0.129;-0.084;0.185;0.051;-0.058;-0.025;-0.01;-0.091;-0.069;0.118;-0.012;0.051;-0.008;-0.083;0.0;-0.188;0.212;-0.057;-0.046;-0.078;0.022;-0.046;0.151;0.107;-0.032;0.107;0.107;0.185;-0.065;-0.298;-0.012;0.067;0.185;0.226;0.219;0.151;0.214;-0.012;-0.03;0.116;0.067;0.185;0.262;0.067;0.151;0.107;0.151;-0.066
static__DiagnosticIC_True;0.099;0.116;0.032;0.116;-0.013;0.026;0.051;-0.044;-0.109;0.049;-0.146;-0.194;0.023;0.26;-0.56;-0.681;0.919;-0.56;-0.467;0.727;-0.56;-0.779;1.0;-0.56;-0.634;0.878;-0.56;0.521;-0.521;0.528;-0.528;0.423;0.073;-0.56;-0.148;0.406;-0.56;-0.178;0.434;-0.56;-0.51;0.767;-0.56;0.326;0.097;-0.56;0.336;0.093;-0.56;0.488;0.006;-0.56;-0.65;0.893;-0.56;-0.535;0.792;-0.56;0.428;0.071;-0.56;-0.417;0.686;-0.56;0.357;0.096;-0.56;-0.141;0.4;-0.56;-0.45;0.716;-0.56;-0.655;0.897;-0.56;-0.356;0.56;-0.186;-0.167;-0.29;-0.167;0.051;-0.413;0.042;0.298;-0.083;0.073;-0.083;-0.336;0.035;-0.336;0.185;-0.215;0.022;0.004;0.044;-0.018;0.023;-0.118;-0.201;-0.277;0.081;0.166;0.088;-0.104;-0.236;0.077;-0.285;0.032;0.035;-0.011;0.204;-0.185;-0.491;-0.026;0.073;0.016;-0.068;-0.004;0.07;0.199;-0.144;0.258;-0.395;-0.167;0.042;-0.237;-0.171;0.298;0.016;0.07;0.05;-0.215;0.011;0.057;0.027;-0.277;0.059;-0.125;0.152;0.032;-0.118;-0.083;0.004;-0.083;-0.083;-0.144;0.033;0.273;0.016;-0.048;-0.144;-0.17;-0.201;-0.118;-0.167;0.016;-0.002;-0.087;-0.118;-0.144;-0.204;-0.118;-0.118;-0.083;-0.118;-0.003
static__DiagnosticIC_other;-0.026;-0.073;-0.042;-0.051;0.073;-0.04;-0.006;0.072;0.056;-0.04;0.015;0.084;-0.336;-0.155;1.0;-0.091;-0.52;1.0;-0.113;-0.44;1.0;-0.082;-0.56;1.0;-0.099;-0.492;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.041;1.0;-0.225;-0.235;1.0;-0.207;-0.255;1.0;-0.106;-0.464;1.0;-0.664;-0.063;1.0;-0.677;-0.061;1.0;-0.86;-0.033;1.0;-0.082;-0.56;1.0;-0.098;-0.494;1.0;-0.815;-0.04;1.0;-0.104;-0.473;1.0;-0.719;-0.054;1.0;-0.174;-0.302;1.0;-0.103;-0.475;1.0;-0.081;-0.569;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.02;0.737;-0.023;-0.629;0.148;-0.041;0.148;0.599;-0.084;0.599;-0.397;0.452;-0.012;0.036;-0.016;0.061;-0.236;0.21;0.416;0.515;-0.046;-0.061;-0.077;-0.037;-0.025;0.069;0.415;0.009;0.073;0.083;-0.2;-0.092;0.007;0.195;-0.072;-0.009;0.161;0.086;0.059;-0.205;-0.015;-0.478;0.705;0.297;-0.052;0.498;0.363;-0.629;-0.009;-0.18;-0.069;0.452;-0.019;0.157;-0.323;0.515;-0.033;0.303;-0.271;0.009;-0.012;-0.009;0.036;-0.009;-0.009;-0.015;0.034;-0.039;-0.009;-0.012;-0.015;-0.028;0.031;-0.012;-0.018;-0.009;0.043;-0.015;0.099;-0.015;-0.022;0.099;-0.012;-0.009;-0.012;0.092
static__DiagnosticLacticAcid_False;-0.099;-0.107;-0.002;-0.079;-0.042;-0.014;-0.022;-0.013;0.063;-0.019;0.191;0.169;0.214;-0.174;-0.099;0.815;-0.64;-0.099;0.565;-0.457;-0.099;0.837;-0.634;-0.099;1.0;-0.818;-0.099;0.104;-0.104;0.103;-0.103;0.068;0.024;-0.099;0.347;-0.301;-0.099;0.369;-0.319;-0.099;0.62;-0.497;-0.099;0.114;-0.058;-0.099;0.11;-0.053;-0.099;0.086;0.001;-0.099;0.738;-0.552;-0.099;0.67;-0.528;-0.099;0.121;-0.066;-0.099;0.482;-0.371;-0.099;0.125;-0.072;-0.099;0.296;-0.241;-0.099;0.579;-0.457;-0.099;0.731;-0.541;-0.099;-0.063;0.099;-0.033;-0.029;-0.051;-0.029;-0.024;-0.073;0.001;0.112;-0.015;-0.068;-0.015;-0.059;0.03;-0.059;0.067;-0.084;-0.021;-0.039;-0.037;0.023;0.162;-0.021;-0.087;-0.045;-0.055;-0.168;-0.05;0.154;0.254;-0.152;0.065;-0.043;-0.108;-0.059;-0.097;0.309;0.53;-0.132;-0.034;-0.015;0.046;0.035;-0.147;-0.083;0.155;0.048;-0.069;-0.029;0.004;-0.109;-0.056;0.112;0.089;0.036;0.012;-0.084;-0.002;-0.21;0.224;-0.045;-0.027;-0.07;0.027;-0.043;0.126;0.089;-0.039;0.089;0.089;0.155;0.009;-0.324;-0.015;0.053;0.155;0.218;0.217;0.126;0.179;-0.015;-0.036;0.155;0.053;0.155;0.219;0.053;0.126;0.089;0.126;-0.055
