;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;index__FirstWithdrawalAmount_6;index__MonthlyCost_6;index__NumberOfTerms_6;index__OfferedAmount_6;index__timesincelastevent_6;index__timesincecasestart_6;index__timesincemidnight_6;index__month_6;index__weekday_6;index__hour_6;index__open_cases_6;index__FirstWithdrawalAmount_7;index__MonthlyCost_7;index__NumberOfTerms_7;index__OfferedAmount_7;index__timesincelastevent_7;index__timesincecasestart_7;index__timesincemidnight_7;index__month_7;index__weekday_7;index__hour_7;index__open_cases_7;index__FirstWithdrawalAmount_8;index__MonthlyCost_8;index__NumberOfTerms_8;index__OfferedAmount_8;index__timesincelastevent_8;index__timesincecasestart_8;index__timesincemidnight_8;index__month_8;index__weekday_8;index__hour_8;index__open_cases_8;index__FirstWithdrawalAmount_9;index__MonthlyCost_9;index__NumberOfTerms_9;index__OfferedAmount_9;index__timesincelastevent_9;index__timesincecasestart_9;index__timesincemidnight_9;index__month_9;index__weekday_9;index__hour_9;index__open_cases_9;index__FirstWithdrawalAmount_10;index__MonthlyCost_10;index__NumberOfTerms_10;index__OfferedAmount_10;index__timesincelastevent_10;index__timesincecasestart_10;index__timesincemidnight_10;index__month_10;index__weekday_10;index__hour_10;index__open_cases_10;index__FirstWithdrawalAmount_11;index__MonthlyCost_11;index__NumberOfTerms_11;index__OfferedAmount_11;index__timesincelastevent_11;index__timesincecasestart_11;index__timesincemidnight_11;index__month_11;index__weekday_11;index__hour_11;index__open_cases_11;index__FirstWithdrawalAmount_12;index__MonthlyCost_12;index__NumberOfTerms_12;index__OfferedAmount_12;index__timesincelastevent_12;index__timesincecasestart_12;index__timesincemidnight_12;index__month_12;index__weekday_12;index__hour_12;index__open_cases_12;index__FirstWithdrawalAmount_13;index__MonthlyCost_13;index__NumberOfTerms_13;index__OfferedAmount_13;index__timesincelastevent_13;index__timesincecasestart_13;index__timesincemidnight_13;index__month_13;index__weekday_13;index__hour_13;index__open_cases_13;index__FirstWithdrawalAmount_14;index__MonthlyCost_14;index__NumberOfTerms_14;index__OfferedAmount_14;index__timesincelastevent_14;index__timesincecasestart_14;index__timesincemidnight_14;index__month_14;index__weekday_14;index__hour_14;index__open_cases_14;index__FirstWithdrawalAmount_15;index__MonthlyCost_15;index__NumberOfTerms_15;index__OfferedAmount_15;index__timesincelastevent_15;index__timesincecasestart_15;index__timesincemidnight_15;index__month_15;index__weekday_15;index__hour_15;index__open_cases_15;encoded_label
index__timesincecasestart_7;0.048;0.116;-0.0;0.185;0.116;0.071;0.031;0.031;0.116;-0.0;0.185;0.116;0.071;0.117;0.089;0.116;-0.0;0.185;0.116;0.071;0.006;0.007;0.119;-0.0;0.178;0.118;0.071;-0.099;0.003;0.116;-0.0;0.178;0.116;0.071;-0.22;-0.34;-0.39;-0.336;0.324;0.307;0.1;0.0;0.174;0.101;0.074;-0.22;-0.335;-0.381;-0.33;0.846;0.956;-0.154;0.003;-0.061;-0.153;0.082;-0.172;-0.277;-0.326;-0.279;0.324;1.0;-0.154;0.003;-0.071;-0.152;0.084;-0.061;-0.146;-0.183;-0.156;0.132;0.814;-0.092;0.004;-0.081;-0.09;0.087;0.009;-0.06;-0.088;-0.075;-0.038;0.76;-0.082;0.004;-0.091;-0.081;0.087;0.028;-0.026;-0.043;-0.041;0.061;0.633;-0.067;0.004;-0.089;-0.066;0.088;0.041;-0.008;-0.024;-0.023;-0.034;0.592;-0.065;0.004;-0.089;-0.065;0.089;0.045;-0.003;-0.015;-0.016;0.028;0.54;-0.068;0.005;-0.088;-0.067;0.089;0.046;-0.002;-0.017;-0.016;-0.328;0.224;0.028;0.004;-0.091;0.028;0.084;0.048;-0.001;-0.017;-0.014;-0.012;0.208;0.034;0.004;-0.092;0.035;0.085;0.048;-0.001;-0.02;-0.014;-0.204;-0.079;0.067;0.006;-0.094;0.065;0.09;-0.021
index__timesincemidnight_7;0.011;0.204;-0.013;-0.112;0.203;-0.063;0.031;0.031;0.204;-0.013;-0.112;0.203;-0.063;-0.018;0.008;0.204;-0.013;-0.112;0.203;-0.063;-0.233;-0.233;0.333;-0.013;-0.055;0.332;-0.061;-0.009;-0.232;0.333;-0.013;-0.055;0.331;-0.061;0.011;0.013;0.022;0.012;-0.017;-0.098;0.371;-0.013;-0.057;0.369;-0.061;0.012;0.015;0.027;0.016;-0.119;-0.158;0.969;-0.013;0.005;0.966;-0.06;0.01;0.016;0.028;0.017;-0.014;-0.154;1.0;-0.013;0.006;0.996;-0.06;0.014;0.027;0.038;0.025;0.034;-0.093;0.791;-0.012;0.019;0.788;-0.06;0.007;0.02;0.031;0.018;-0.026;-0.098;0.666;-0.012;0.023;0.663;-0.06;0.009;0.018;0.031;0.017;0.016;-0.07;0.629;-0.012;0.024;0.626;-0.061;0.004;0.009;0.025;0.01;-0.019;-0.072;0.599;-0.012;0.025;0.596;-0.061;0.003;0.006;0.021;0.007;0.007;-0.063;0.586;-0.012;0.025;0.583;-0.061;0.001;0.005;0.019;0.005;0.017;-0.042;0.392;-0.013;0.036;0.391;-0.061;0.001;0.003;0.019;0.003;0.017;-0.033;0.371;-0.013;0.035;0.369;-0.06;0.001;0.001;0.017;0.001;0.03;0.011;0.289;-0.016;0.027;0.291;-0.063;-0.002
index__month_7;0.078;-0.024;0.993;-0.006;-0.024;0.622;0.45;0.45;-0.024;0.993;-0.006;-0.024;0.622;-0.086;0.216;-0.024;0.993;-0.006;-0.024;0.622;-0.009;-0.009;-0.02;0.993;-0.005;-0.02;0.623;-0.016;-0.01;-0.02;0.993;-0.005;-0.021;0.623;0.05;0.03;0.016;0.039;-0.003;-0.006;-0.024;0.993;-0.003;-0.025;0.622;0.051;0.03;0.015;0.039;0.006;0.004;-0.012;1.0;0.015;-0.012;0.618;0.068;0.044;0.026;0.051;-0.002;0.003;-0.013;1.0;0.014;-0.013;0.617;0.091;0.061;0.036;0.068;0.013;0.009;-0.017;0.998;0.015;-0.017;0.616;0.104;0.07;0.043;0.08;-0.001;0.009;-0.021;0.997;0.012;-0.021;0.615;0.108;0.074;0.046;0.087;-0.014;-0.0;-0.027;0.997;0.015;-0.027;0.613;0.11;0.074;0.046;0.088;-0.0;-0.0;-0.029;0.996;0.014;-0.029;0.613;0.11;0.076;0.047;0.09;-0.015;-0.005;-0.032;0.995;0.011;-0.032;0.612;0.11;0.073;0.042;0.087;-0.001;-0.005;-0.037;0.982;0.027;-0.037;0.604;0.108;0.072;0.039;0.087;-0.007;-0.007;-0.037;0.981;0.026;-0.037;0.603;0.108;0.072;0.039;0.087;0.0;-0.003;-0.009;0.955;0.008;-0.009;0.563;0.017
index__weekday_7;0.016;0.01;0.011;0.282;0.01;0.011;0.019;0.019;0.01;0.011;0.282;0.01;0.011;0.012;0.018;0.01;0.011;0.282;0.01;0.011;-0.095;-0.095;0.033;0.011;0.352;0.033;0.011;0.008;-0.095;0.034;0.011;0.352;0.034;0.011;-0.01;-0.016;-0.017;-0.015;-0.006;-0.039;0.027;0.011;0.376;0.027;0.01;-0.009;-0.018;-0.018;-0.016;-0.057;-0.072;0.008;0.014;0.986;0.008;0.007;-0.001;-0.007;-0.008;-0.006;-0.007;-0.071;0.006;0.014;1.0;0.006;0.007;0.003;0.001;-0.001;0.002;0.08;-0.005;-0.019;0.012;0.881;-0.02;0.009;0.006;0.006;-0.001;0.006;0.008;-0.002;-0.041;0.012;0.834;-0.042;0.008;0.008;0.01;0.002;0.009;0.021;0.009;-0.046;0.012;0.8;-0.046;0.009;0.007;0.009;0.003;0.007;0.009;0.011;-0.046;0.011;0.774;-0.046;0.009;0.006;0.007;0.005;0.007;0.014;0.014;-0.045;0.011;0.763;-0.046;0.009;0.005;0.004;0.006;0.005;-0.021;-0.003;-0.047;0.006;0.431;-0.048;0.014;0.005;0.003;0.003;0.005;-0.006;-0.005;-0.048;0.006;0.393;-0.049;0.015;0.006;0.002;0.003;0.005;0.002;-0.001;-0.045;0.007;0.387;-0.047;0.012;-0.003
index__hour_7;0.01;0.204;-0.013;-0.112;0.203;-0.063;0.031;0.031;0.204;-0.013;-0.112;0.203;-0.063;-0.018;0.007;0.204;-0.013;-0.112;0.203;-0.063;-0.231;-0.231;0.333;-0.014;-0.055;0.332;-0.062;-0.009;-0.23;0.333;-0.014;-0.055;0.332;-0.061;0.011;0.014;0.022;0.013;-0.016;-0.096;0.37;-0.014;-0.057;0.37;-0.061;0.012;0.016;0.027;0.016;-0.119;-0.157;0.966;-0.013;0.005;0.967;-0.061;0.01;0.016;0.029;0.017;-0.013;-0.152;0.996;-0.013;0.006;1.0;-0.061;0.014;0.027;0.038;0.025;0.034;-0.092;0.789;-0.013;0.019;0.791;-0.06;0.006;0.019;0.031;0.017;-0.027;-0.097;0.664;-0.012;0.022;0.664;-0.061;0.008;0.018;0.031;0.017;0.016;-0.07;0.628;-0.012;0.024;0.628;-0.061;0.004;0.009;0.025;0.01;-0.02;-0.072;0.597;-0.012;0.025;0.598;-0.061;0.002;0.006;0.021;0.007;0.007;-0.062;0.585;-0.012;0.025;0.585;-0.061;0.001;0.005;0.019;0.005;0.017;-0.042;0.391;-0.013;0.036;0.391;-0.061;0.0;0.003;0.018;0.003;0.017;-0.033;0.37;-0.013;0.035;0.369;-0.061;0.0;0.001;0.016;0.001;0.03;0.011;0.289;-0.017;0.028;0.291;-0.063;-0.002
index__open_cases_7;0.041;-0.038;0.613;-0.014;-0.039;0.992;0.08;0.08;-0.038;0.613;-0.014;-0.039;0.992;-0.033;0.028;-0.038;0.613;-0.014;-0.039;0.992;-0.005;-0.005;-0.041;0.613;-0.013;-0.042;0.992;-0.016;-0.006;-0.041;0.613;-0.013;-0.042;0.992;0.038;0.016;0.009;0.024;0.018;0.015;-0.048;0.613;-0.011;-0.049;0.992;0.038;0.018;0.011;0.026;0.083;0.087;-0.06;0.617;0.009;-0.06;1.0;0.067;0.045;0.034;0.049;0.005;0.084;-0.06;0.617;0.007;-0.061;1.0;0.082;0.06;0.044;0.062;0.021;0.074;-0.061;0.618;0.006;-0.062;0.998;0.089;0.065;0.046;0.068;0.019;0.078;-0.065;0.618;0.007;-0.065;0.997;0.088;0.067;0.048;0.073;-0.007;0.058;-0.07;0.618;0.01;-0.07;0.996;0.088;0.064;0.045;0.071;0.01;0.058;-0.073;0.619;0.007;-0.073;0.995;0.087;0.064;0.043;0.071;-0.02;0.046;-0.077;0.619;0.007;-0.077;0.994;0.085;0.059;0.034;0.066;0.014;0.05;-0.032;0.625;0.002;-0.033;0.984;0.082;0.056;0.031;0.065;0.0;0.048;-0.031;0.625;-0.001;-0.031;0.982;0.079;0.054;0.029;0.064;-0.004;0.017;-0.036;0.63;-0.009;-0.036;0.951;0.006
index__FirstWithdrawalAmount_8;0.219;-0.02;0.091;-0.002;-0.02;0.082;-0.033;-0.033;-0.02;0.091;-0.002;-0.02;0.082;-0.056;-0.054;-0.02;0.091;-0.002;-0.02;0.082;-0.09;-0.09;0.009;0.09;0.017;0.009;0.083;0.027;-0.089;0.01;0.09;0.017;0.01;0.083;0.584;0.282;0.197;0.301;-0.065;-0.093;0.009;0.09;0.012;0.008;0.083;0.602;0.285;0.192;0.3;-0.016;-0.055;0.012;0.091;0.003;0.012;0.082;0.757;0.364;0.253;0.378;-0.028;-0.061;0.014;0.091;0.003;0.014;0.082;1.0;0.547;0.405;0.563;-0.115;-0.112;0.001;0.09;0.009;-0.0;0.081;0.84;0.447;0.307;0.472;-0.096;-0.142;-0.018;0.09;-0.0;-0.019;0.08;0.746;0.386;0.251;0.42;-0.065;-0.145;-0.026;0.09;0.003;-0.027;0.08;0.708;0.347;0.202;0.383;-0.063;-0.156;-0.029;0.09;0.002;-0.03;0.079;0.679;0.326;0.168;0.357;-0.046;-0.154;-0.031;0.09;0.004;-0.031;0.079;0.656;0.307;0.142;0.337;0.125;-0.04;-0.069;0.087;0.011;-0.07;0.08;0.643;0.293;0.121;0.323;-0.009;-0.041;-0.07;0.087;0.01;-0.07;0.08;0.63;0.283;0.108;0.313;0.12;0.082;-0.085;0.085;0.013;-0.084;0.074;-0.018
index__MonthlyCost_8;0.249;-0.092;0.061;-0.054;-0.092;0.059;-0.134;-0.134;-0.092;0.061;-0.054;-0.092;0.059;-0.155;-0.174;-0.092;0.061;-0.054;-0.092;0.059;-0.141;-0.141;-0.047;0.061;-0.026;-0.047;0.06;0.078;-0.138;-0.044;0.061;-0.026;-0.045;0.06;0.343;0.61;0.325;0.535;0.026;-0.024;-0.044;0.061;-0.022;-0.044;0.06;0.36;0.646;0.345;0.566;-0.142;-0.149;0.024;0.061;0.003;0.025;0.06;0.426;0.76;0.403;0.66;-0.017;-0.146;0.027;0.061;0.001;0.027;0.06;0.547;1.0;0.525;0.849;-0.171;-0.207;0.007;0.061;0.01;0.005;0.058;0.401;0.841;0.371;0.708;-0.152;-0.253;-0.022;0.06;-0.004;-0.023;0.057;0.329;0.74;0.28;0.629;-0.099;-0.25;-0.036;0.06;0.001;-0.036;0.056;0.281;0.682;0.199;0.571;-0.098;-0.266;-0.04;0.059;-0.001;-0.041;0.055;0.249;0.652;0.14;0.53;-0.068;-0.26;-0.041;0.059;0.003;-0.041;0.055;0.226;0.614;0.097;0.501;0.276;-0.019;-0.128;0.059;0.014;-0.128;0.06;0.211;0.594;0.061;0.479;0.043;-0.003;-0.138;0.059;0.015;-0.138;0.06;0.2;0.578;0.038;0.465;0.236;0.195;-0.171;0.058;0.021;-0.169;0.056;-0.049
index__NumberOfTerms_8;0.079;-0.115;0.034;-0.076;-0.114;0.044;-0.187;-0.187;-0.115;0.034;-0.076;-0.114;0.044;-0.203;-0.235;-0.115;0.034;-0.076;-0.114;0.044;-0.169;-0.169;-0.06;0.034;-0.042;-0.06;0.044;0.097;-0.165;-0.057;0.034;-0.042;-0.057;0.044;0.275;0.352;0.607;0.475;0.054;-0.007;-0.053;0.034;-0.036;-0.053;0.045;0.286;0.377;0.65;0.508;-0.192;-0.191;0.034;0.036;0.001;0.034;0.044;0.326;0.429;0.761;0.585;-0.01;-0.183;0.038;0.036;-0.001;0.038;0.044;0.405;0.525;1.0;0.735;-0.203;-0.254;0.013;0.035;0.009;0.011;0.042;0.253;0.354;0.818;0.573;-0.182;-0.308;-0.022;0.035;-0.008;-0.022;0.041;0.177;0.251;0.717;0.478;-0.12;-0.303;-0.038;0.034;-0.003;-0.038;0.039;0.123;0.17;0.638;0.407;-0.119;-0.323;-0.044;0.034;-0.004;-0.044;0.039;0.087;0.116;0.585;0.355;-0.081;-0.315;-0.042;0.034;-0.001;-0.042;0.038;0.062;0.074;0.547;0.319;0.36;-0.004;-0.155;0.034;0.009;-0.154;0.045;0.045;0.042;0.52;0.291;0.07;0.02;-0.17;0.035;0.011;-0.169;0.046;0.033;0.021;0.501;0.273;0.281;0.243;-0.215;0.036;0.011;-0.212;0.045;-0.056
index__OfferedAmount_8;0.35;-0.106;0.068;-0.063;-0.105;0.061;-0.151;-0.151;-0.106;0.068;-0.063;-0.105;0.061;-0.172;-0.195;-0.106;0.068;-0.063;-0.105;0.061;-0.138;-0.138;-0.061;0.067;-0.036;-0.062;0.062;0.09;-0.134;-0.059;0.067;-0.036;-0.059;0.062;0.387;0.566;0.472;0.659;0.048;-0.002;-0.056;0.068;-0.029;-0.056;0.062;0.402;0.601;0.504;0.699;-0.166;-0.162;0.023;0.068;0.004;0.023;0.062;0.46;0.689;0.582;0.803;-0.009;-0.156;0.025;0.068;0.002;0.025;0.062;0.563;0.849;0.735;1.0;-0.163;-0.211;0.005;0.068;0.01;0.003;0.06;0.418;0.698;0.587;0.858;-0.148;-0.255;-0.023;0.068;-0.003;-0.024;0.059;0.347;0.608;0.503;0.78;-0.097;-0.25;-0.037;0.067;0.001;-0.037;0.058;0.3;0.549;0.436;0.725;-0.096;-0.266;-0.041;0.067;-0.0;-0.042;0.058;0.268;0.517;0.389;0.686;-0.067;-0.259;-0.041;0.067;0.003;-0.041;0.057;0.245;0.489;0.356;0.659;0.299;-0.001;-0.132;0.066;0.013;-0.132;0.062;0.23;0.468;0.33;0.639;0.058;0.019;-0.144;0.066;0.013;-0.144;0.063;0.22;0.455;0.314;0.626;0.24;0.208;-0.174;0.065;0.014;-0.172;0.059;-0.049
index__timesincelastevent_8;0.014;0.019;0.012;0.026;0.019;0.019;0.04;0.04;0.019;0.012;0.026;0.019;0.019;0.044;0.051;0.019;0.012;0.026;0.019;0.019;-0.046;-0.046;0.035;0.012;0.036;0.035;0.019;-0.043;-0.047;0.034;0.012;0.036;0.034;0.019;-0.068;-0.1;-0.115;-0.097;-0.034;-0.049;0.032;0.012;0.035;0.032;0.019;-0.071;-0.106;-0.123;-0.104;0.17;0.145;0.035;0.013;0.08;0.035;0.021;-0.086;-0.129;-0.15;-0.126;-0.019;0.132;0.034;0.013;0.08;0.034;0.021;-0.115;-0.171;-0.203;-0.163;1.0;0.683;-0.059;0.018;-0.021;-0.058;0.032;-0.058;-0.105;-0.128;-0.102;-0.046;0.632;-0.067;0.018;-0.026;-0.065;0.032;-0.04;-0.08;-0.1;-0.078;0.238;0.618;-0.046;0.02;-0.024;-0.046;0.035;-0.008;-0.037;-0.034;-0.035;-0.016;0.583;-0.044;0.02;-0.024;-0.044;0.035;-0.004;-0.032;-0.029;-0.03;0.097;0.554;-0.037;0.02;-0.025;-0.036;0.035;0.003;-0.021;-0.011;-0.02;-0.109;0.4;-0.005;0.02;-0.026;-0.005;0.034;0.004;-0.021;-0.011;-0.019;0.008;0.38;0.0;0.02;-0.024;0.0;0.034;0.013;-0.015;-0.003;-0.015;-0.085;0.095;0.015;0.02;-0.026;0.014;0.034;0.005
index__timesincecasestart_8;0.043;0.097;0.007;0.152;0.096;0.063;0.046;0.046;0.097;0.007;0.152;0.096;0.063;0.112;0.095;0.097;0.007;0.152;0.096;0.063;-0.022;-0.022;0.108;0.007;0.153;0.108;0.064;-0.098;-0.026;0.105;0.007;0.153;0.105;0.064;-0.202;-0.309;-0.355;-0.305;0.219;0.198;0.093;0.007;0.149;0.093;0.065;-0.204;-0.309;-0.353;-0.305;0.723;0.79;-0.093;0.009;0.002;-0.092;0.073;-0.177;-0.279;-0.328;-0.28;0.228;0.814;-0.093;0.009;-0.005;-0.092;0.074;-0.112;-0.207;-0.254;-0.211;0.683;1.0;-0.103;0.013;-0.072;-0.1;0.083;-0.028;-0.106;-0.14;-0.115;-0.055;0.93;-0.1;0.013;-0.083;-0.098;0.083;-0.003;-0.066;-0.09;-0.076;0.184;0.828;-0.077;0.015;-0.08;-0.076;0.085;0.025;-0.028;-0.038;-0.037;-0.034;0.777;-0.074;0.015;-0.08;-0.073;0.086;0.031;-0.021;-0.028;-0.03;0.077;0.722;-0.072;0.015;-0.079;-0.071;0.086;0.035;-0.014;-0.019;-0.023;-0.305;0.399;0.017;0.014;-0.083;0.018;0.082;0.038;-0.013;-0.019;-0.022;-0.004;0.376;0.025;0.015;-0.082;0.026;0.082;0.043;-0.009;-0.016;-0.019;-0.2;-0.003;0.058;0.016;-0.084;0.057;0.086;-0.012
index__timesincemidnight_8;0.01;0.23;-0.016;-0.088;0.229;-0.063;0.035;0.035;0.23;-0.016;-0.088;0.229;-0.063;-0.012;0.014;0.23;-0.016;-0.088;0.229;-0.063;-0.236;-0.236;0.36;-0.016;-0.029;0.359;-0.061;-0.016;-0.236;0.36;-0.016;-0.029;0.358;-0.061;-0.0;-0.003;0.004;-0.003;-0.021;-0.103;0.397;-0.016;-0.031;0.395;-0.061;0.001;-0.001;0.008;-0.001;-0.05;-0.092;0.76;-0.017;-0.019;0.758;-0.061;-0.003;-0.004;0.005;-0.003;-0.017;-0.092;0.791;-0.017;-0.019;0.789;-0.061;0.001;0.007;0.013;0.005;-0.059;-0.103;1.0;-0.017;-0.012;0.996;-0.061;0.019;0.029;0.038;0.023;-0.03;-0.108;0.88;-0.017;-0.01;0.876;-0.061;0.023;0.031;0.046;0.025;-0.008;-0.09;0.799;-0.017;-0.008;0.796;-0.062;0.015;0.016;0.027;0.011;-0.022;-0.092;0.767;-0.017;-0.007;0.764;-0.062;0.013;0.01;0.023;0.008;0.003;-0.081;0.745;-0.017;-0.006;0.742;-0.062;0.01;0.006;0.015;0.003;0.0;-0.071;0.549;-0.018;0.005;0.547;-0.062;0.01;0.005;0.015;0.001;0.014;-0.062;0.526;-0.018;0.004;0.524;-0.062;0.008;0.002;0.012;-0.002;0.017;-0.012;0.447;-0.021;-0.003;0.449;-0.064;-0.01
index__month_8;0.079;-0.024;0.991;-0.008;-0.024;0.623;0.448;0.448;-0.024;0.991;-0.008;-0.024;0.623;-0.086;0.215;-0.024;0.991;-0.008;-0.024;0.623;-0.009;-0.009;-0.019;0.991;-0.006;-0.02;0.623;-0.016;-0.01;-0.02;0.991;-0.006;-0.02;0.623;0.049;0.029;0.015;0.039;-0.003;-0.006;-0.024;0.991;-0.004;-0.025;0.623;0.051;0.03;0.015;0.038;0.007;0.005;-0.012;0.998;0.014;-0.011;0.618;0.067;0.043;0.026;0.05;-0.003;0.004;-0.012;0.998;0.012;-0.013;0.618;0.09;0.061;0.035;0.068;0.018;0.013;-0.017;1.0;0.016;-0.017;0.617;0.104;0.07;0.043;0.08;-0.001;0.012;-0.021;0.999;0.013;-0.021;0.616;0.108;0.074;0.046;0.087;-0.013;0.003;-0.028;0.999;0.016;-0.027;0.615;0.111;0.074;0.046;0.088;-0.0;0.003;-0.029;0.998;0.015;-0.029;0.614;0.11;0.076;0.047;0.09;-0.015;-0.002;-0.032;0.997;0.012;-0.032;0.613;0.11;0.074;0.043;0.087;-0.002;-0.003;-0.037;0.984;0.028;-0.037;0.606;0.108;0.072;0.039;0.087;-0.007;-0.005;-0.037;0.983;0.027;-0.037;0.604;0.108;0.072;0.039;0.088;-0.0;-0.002;-0.01;0.957;0.009;-0.009;0.564;0.017
index__weekday_8;0.014;0.011;0.012;0.242;0.011;0.011;0.016;0.016;0.011;0.012;0.242;0.011;0.011;0.007;0.014;0.011;0.012;0.242;0.011;0.011;-0.094;-0.094;0.034;0.012;0.312;0.034;0.011;0.01;-0.093;0.034;0.012;0.312;0.035;0.011;-0.006;-0.01;-0.01;-0.009;-0.004;-0.037;0.027;0.012;0.337;0.027;0.011;-0.005;-0.011;-0.011;-0.009;-0.071;-0.085;0.022;0.015;0.867;0.022;0.007;0.004;0.001;0.001;0.002;-0.005;-0.081;0.019;0.015;0.881;0.019;0.006;0.009;0.01;0.009;0.01;-0.021;-0.072;-0.012;0.016;1.0;-0.013;0.003;0.003;0.008;0.003;0.007;0.01;-0.065;-0.033;0.015;0.953;-0.035;0.003;0.006;0.01;0.004;0.009;0.038;-0.033;-0.042;0.015;0.901;-0.043;0.003;0.004;0.007;0.003;0.005;0.008;-0.029;-0.042;0.015;0.875;-0.043;0.003;0.001;0.004;0.003;0.004;0.021;-0.019;-0.043;0.014;0.857;-0.043;0.003;0.001;0.002;0.004;0.003;-0.016;-0.029;-0.046;0.009;0.52;-0.047;0.007;0.002;0.001;0.003;0.002;-0.005;-0.029;-0.047;0.009;0.48;-0.047;0.008;0.003;0.0;0.003;0.003;0.006;-0.007;-0.044;0.011;0.474;-0.046;0.005;0.004
index__hour_8;0.01;0.229;-0.016;-0.088;0.229;-0.064;0.035;0.035;0.229;-0.016;-0.088;0.229;-0.064;-0.012;0.014;0.229;-0.016;-0.088;0.229;-0.064;-0.234;-0.234;0.359;-0.016;-0.029;0.359;-0.062;-0.016;-0.234;0.359;-0.016;-0.029;0.359;-0.062;-0.001;-0.003;0.003;-0.004;-0.02;-0.102;0.396;-0.016;-0.031;0.396;-0.061;0.001;-0.002;0.007;-0.001;-0.048;-0.09;0.757;-0.017;-0.02;0.758;-0.062;-0.003;-0.005;0.005;-0.003;-0.016;-0.09;0.788;-0.017;-0.02;0.791;-0.062;-0.0;0.005;0.011;0.003;-0.058;-0.1;0.996;-0.017;-0.013;1.0;-0.061;0.017;0.027;0.036;0.021;-0.03;-0.106;0.876;-0.017;-0.011;0.878;-0.062;0.022;0.03;0.045;0.024;-0.008;-0.088;0.796;-0.017;-0.008;0.798;-0.062;0.014;0.015;0.027;0.01;-0.023;-0.091;0.764;-0.017;-0.008;0.766;-0.063;0.012;0.009;0.023;0.007;0.004;-0.08;0.743;-0.017;-0.007;0.744;-0.063;0.009;0.006;0.015;0.002;-0.001;-0.07;0.548;-0.018;0.005;0.549;-0.062;0.01;0.004;0.015;0.0;0.014;-0.062;0.525;-0.018;0.004;0.526;-0.062;0.008;0.001;0.012;-0.003;0.017;-0.013;0.447;-0.021;-0.004;0.45;-0.064;-0.01
index__open_cases_8;0.041;-0.038;0.611;-0.012;-0.039;0.989;0.078;0.078;-0.038;0.611;-0.012;-0.039;0.989;-0.032;0.027;-0.038;0.611;-0.012;-0.039;0.989;-0.006;-0.006;-0.041;0.611;-0.01;-0.042;0.99;-0.017;-0.006;-0.041;0.611;-0.01;-0.042;0.99;0.037;0.014;0.008;0.022;0.017;0.014;-0.048;0.611;-0.009;-0.049;0.99;0.037;0.017;0.009;0.025;0.086;0.09;-0.059;0.615;0.01;-0.06;0.998;0.066;0.043;0.033;0.047;0.005;0.087;-0.06;0.616;0.009;-0.06;0.998;0.081;0.058;0.042;0.06;0.032;0.083;-0.061;0.617;0.003;-0.061;1.0;0.088;0.063;0.044;0.067;0.019;0.085;-0.064;0.617;0.003;-0.065;0.999;0.088;0.066;0.047;0.072;-0.005;0.065;-0.07;0.617;0.007;-0.07;0.998;0.088;0.064;0.045;0.071;0.01;0.065;-0.073;0.617;0.004;-0.073;0.997;0.088;0.064;0.043;0.071;-0.02;0.052;-0.076;0.618;0.004;-0.076;0.996;0.085;0.059;0.034;0.066;0.012;0.055;-0.031;0.623;-0.001;-0.032;0.986;0.083;0.056;0.031;0.065;0.0;0.052;-0.03;0.624;-0.004;-0.03;0.984;0.08;0.054;0.029;0.064;-0.005;0.018;-0.035;0.629;-0.012;-0.035;0.953;0.006
